Nome;Telefone_E164;Telefone_Formatado;DDD;Lead_Quente;Conversa_Direta_1a1;Msgs_Trocadas;Msgs_Enviadas_Loja;Msgs_Recebidas_Cliente;Ultima_Conversa;Salvo_Na_Agenda;Segmento;Nicho_TI;Nome_Agenda;Nome_Perfil_WhatsApp
"Faturamento Unilab Quantum";"5511942955209";"(11) 94295-5209";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Faturamento Unilab Quantum";""
"Fe Lanches";"5511950268626";"(11) 95026-8626";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Fe Lanches";""
"Flávia Enfermagem";"5511969775044";"(11) 96977-5044";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Flávia Enfermagem";""
"foto acesso";"5511997155025";"(11) 99715-5025";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"foto acesso";""
"Francisca Souza Comercial Abatex";"5511989939155";"(11) 98993-9155";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Francisca Souza Comercial Abatex";""
"Gabriel Eventos Oficial";"5511971654339";"(11) 97165-4339";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Gabriel Eventos Oficial";""
"gilson almeida dentista";"5511976855283";"(11) 97685-5283";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"gilson almeida dentista";""
"Hope Adm Pessoal";"553530420813";"(35) 3042-0813";"35";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Hope Adm Pessoal";""
"ITP Systems";"5511972207276";"(11) 97220-7276";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"ITP Systems";""
"Jenifer Pet";"5511969010851";"(11) 96901-0851";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Jenifer Pet";""
"Jenny Pediatria";"5511959070263";"(11) 95907-0263";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Jenny Pediatria";""
"Jonatan Megacell";"5511949950333";"(11) 94995-0333";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Jonatan Megacell";""
"Juciana Doces 4 Andar";"5511972112351";"(11) 97211-2351";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Juciana Doces 4 Andar";""
"Kaka Burger";"5511943384300";"(11) 94338-4300";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Kaka Burger";""
"Larissa - Departamento Pessoal";"5511999718928";"(11) 99971-8928";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Larissa - Departamento Pessoal";""
"larissa adecco";"5511922034362";"(11) 92203-4362";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"larissa adecco";""
"Lu Do Bazar";"5511998002916";"(11) 99800-2916";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Lu Do Bazar";""
"Magali Bolos";"5511957808058";"(11) 95780-8058";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Magali Bolos";""
"Magic Doces";"5511987519291";"(11) 98751-9291";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Magic Doces";""
"Marchē Papelaria";"551140343244";"(11) 4034-3244";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Marchē Papelaria";""
"Mercado";"5511977459667";"(11) 97745-9667";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Mercado";""
"Milk Shake João Franco";"5511996359556";"(11) 99635-9556";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Milk Shake João Franco";""
"Mix Print";"5511968830188";"(11) 96883-0188";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Mix Print";""
"Moraes express";"5511972735911";"(11) 97273-5911";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Moraes express";""
"ms fitness";"5511974311820";"(11) 97431-1820";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"ms fitness";""
"Nayara Enfermagem";"5511994153553";"(11) 99415-3553";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Nayara Enfermagem";""
"Neres Assistencia Tecnica";"5511966598260";"(11) 96659-8260";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Neres Assistencia Tecnica";""
"Noe-ser modas evangélicas";"5511979910621";"(11) 97991-0621";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Noe-ser modas evangélicas";""
"Panobianco Academia Unidade Bragança Paulista";"5511994032587";"(11) 99403-2587";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Panobianco Academia Unidade Bragança Paulista";""
"PAULA RAIANA • NAIL DESIGNER";"5511948293543";"(11) 94829-3543";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"PAULA RAIANA • NAIL DESIGNER";""
"Pizzaria e Esfiharia Da Vila";"5511942116369";"(11) 94211-6369";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Pizzaria e Esfiharia Da Vila";""
"PointChip";"5511987180481";"(11) 98718-0481";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"PointChip";""
"Polymat / Guaialajes";"5511965752800";"(11) 96575-2800";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Polymat / Guaialajes";""
"ponto certo embalagens";"5511933872271";"(11) 93387-2271";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"ponto certo embalagens";""
"Priscila Oculos";"5511975644123";"(11) 97564-4123";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Priscila Oculos";""
"R S transportes";"5511975960851";"(11) 97596-0851";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"R S transportes";""
"Rafael - Emc Tecnologia";"5511943562070";"(11) 94356-2070";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Rafael - Emc Tecnologia";""
"RESERVAS - Pousada Casa de Bragança";"551140341249";"(11) 4034-1249";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"RESERVAS - Pousada Casa de Bragança";""
"Samya ID Logistics";"553584164866";"(35) 8416-4866";"35";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Samya ID Logistics";""
"Sindica Marta";"5511997863048";"(11) 99786-3048";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Sindica Marta";""
"Spa di Beleza Carina Elen";"5511955707088";"(11) 95570-7088";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Spa di Beleza Carina Elen";""
"Studio Ariani Christina Nail designer";"5511984991309";"(11) 98499-1309";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Studio Ariani Christina Nail designer";""
"Tiago Cia de Talentos";"5511911503173";"(11) 91150-3173";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Tiago Cia de Talentos";""
"UNIMAGEM GARDEN SHOPPING";"5511974223503";"(11) 97422-3503";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"UNIMAGEM GARDEN SHOPPING";""
"Verônica Ava Multiserviços";"5511997642631";"(11) 99764-2631";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Verônica Ava Multiserviços";""
"2W Delivery";"5511939299522";"(11) 93929-9522";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"2W Delivery";""
"Absolux Jeans";"5511983679121";"(11) 98367-9121";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Absolux Jeans";""
"Agatha's Cabelos";"5511959614502";"(11) 95961-4502";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Agatha's Cabelos";""
"Agência Passeios no Paraíso";"5512991899071";"(12) 99189-9071";"12";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Agência Passeios no Paraíso";""
"Águia school";"5511956367111";"(11) 95636-7111";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Águia school";""
"Akuna Studio";"5511960665435";"(11) 96066-5435";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Akuna Studio";""
"Aline Estética Avançada";"5519981572668";"(19) 98157-2668";"19";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Aline Estética Avançada";""
"Ana Julia Web Studio";"5511980578182";"(11) 98057-8182";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Ana Julia Web Studio";""
"Andrade Alianças e Joias";"551131059306";"(11) 3105-9306";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Andrade Alianças e Joias";""
"Ariel Campos Nails";"5511951429682";"(11) 95142-9682";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Ariel Campos Nails";""
"Assessoria Andressa";"5511952884141";"(11) 95288-4141";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Assessoria Andressa";""
"Atendimento Imperium dos Brindes";"5511981771573";"(11) 98177-1573";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Atendimento Imperium dos Brindes";""
"Auto Direção Certa";"5511942692900";"(11) 94269-2900";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Auto Direção Certa";""
"Auto Escola Bragança";"5511941120222";"(11) 94112-0222";"11";"Não";"Não";0;0;0;"";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Auto Escola Bragança";""
